Wave[A],Flux[ergs A-1 cm-2 s-2](Orig),Flux[erg A-1 cm-2 s-2](cont+line+filt)
6384.08154296875,3.84200558157263E-16,4.49450846515242E-16
6382.99365234375,3.94263271630626E-16,4.49496851578841E-16
6381.90576171875,5.19948083001795E-16,4.49542611963199E-16
6380.81787109375,4.77662396124032E-16,4.49588127894771E-16
6379.72998046875,3.87215420614107E-16,4.49633399600008E-16
6378.6416015625,4.48114131082658E-16,4.49678447460537E-16
6377.5537109375,4.17314467947108E-16,4.49723231283101E-16
6376.4658203125,5.74161192416751E-16,4.4976777155879E-16
6375.3779296875,4.31910097648874E-16,4.4981206851406E-16
6374.2900390625,4.02575774601131E-16,4.49856122375361E-16
6373.2021484375,4.85448970381887E-16,4.49899933369145E-16
6372.1142578125,4.96399934660974E-16,4.49943501721867E-16
6371.0263671875,4.95897789486459E-16,4.49986827659982E-16
6369.9384765625,3.76550751265377E-16,4.50029911409941E-16
6368.85009765625,5.131051532986E-16,4.50072772372715E-16
6367.76220703125,3.79793124786621E-16,4.50115372317272E-16
6366.67431640625,4.93142370133217E-16,4.50157730753133E-16
6365.58642578125,5.07186882259482E-16,4.50199847906754E-16
6364.49853515625,5.63830981747596E-16,4.50241724004583E-16
6363.41064453125,4.49416150424508E-16,4.50283359273077E-16
6362.32275390625,5.19911474855443E-16,4.50324753938686E-16
6361.23486328125,4.81803032203972E-16,4.50365908227865E-16
6360.14697265625,4.37362893202066E-16,4.50406822367068E-16
6359.05908203125,3.74327457420772E-16,4.50447496582746E-16
6357.97119140625,5.02325255264144E-16,4.50487931101354E-16
6356.88330078125,4.19200317982742E-16,4.50528126149339E-16
6355.79541015625,4.38315345575888E-16,4.50568081953164E-16
6354.70751953125,4.34189957191907E-16,4.50607798739273E-16
6353.61962890625,4.04245415285931E-16,4.50647276734125E-16
6352.53173828125,4.00198748247066E-16,4.50686516164169E-16
6351.44384765625,3.83890236607961E-16,4.50725517255859E-16
6350.35595703125,4.32932376639541E-16,4.5076428023565E-16
6349.26806640625,4.32623197481811E-16,4.50802805329995E-16
6348.18017578125,3.83444802936242E-16,4.50841092765343E-16
6347.0927734375,4.37236198028399E-16,4.50879125743278E-16
6346.0048828125,4.16652249206847E-16,4.50916938646411E-16
6344.9169921875,4.05639613208847E-16,4.5095451456981E-16
6343.8291015625,5.00896793976185E-16,4.50991853739924E-16
6342.7412109375,3.91933504421062E-16,4.51028956383207E-16
6341.6533203125,4.07325645745828E-16,4.5106582272611E-16
6340.5654296875,3.99843623507648E-16,4.51102452995088E-16
6339.4775390625,3.99477605792179E-16,4.51138847416596E-16
6338.3896484375,4.23398978687128E-16,4.51175006217086E-16
6337.3017578125,4.8469303450462E-16,4.51210929623008E-16
6336.21435546875,4.84684393445069E-16,4.51246601895475E-16
6335.12646484375,4.59570236915312E-16,4.51282055297024E-16
6334.03857421875,4.16425485031396E-16,4.51317273983262E-16
6332.95068359375,5.12502449431378E-16,4.51352258180645E-16
6331.86279296875,4.35695441126877E-16,4.51387008115628E-16
6330.77490234375,4.37405963283364E-16,4.51421524014661E-16
6329.6875,3.93949406880744E-16,4.51455790769675E-16
6328.599609375,3.31166748009641E-16,4.51489839380955E-16
6327.51171875,4.08276859333965E-16,4.51523654635541E-16
6326.423828125,4.42370519340172E-16,4.51557236759892E-16
6325.3359375,4.50627276513673E-16,4.51590585980455E-16
6324.24853515625,3.37751001129934E-16,4.51623687712046E-16
6323.16064453125,4.45117624535641E-16,4.51656571908674E-16
6322.07275390625,3.72388154753372E-16,4.51689223880777E-16
6320.98486328125,5.29655143222474E-16,4.51721643854801E-16
6319.8974609375,4.91452935567813E-16,4.51753817662031E-16
6318.8095703125,4.00719422487884E-16,4.51785774423139E-16
6317.7216796875,4.60927623095155E-16,4.51817499865429E-16
6316.6337890625,4.25890644112577E-16,4.51848994215351E-16
